"RelPath","Outer","Inner","OuterLen","InnerLen","OuterWrite","InnerWrite"
"backend\apps\academico\services\__pycache__\calificaciones_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\services\__pycache__\calificaciones_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\services\__pycache__\calificaciones_service.cpython-313.pyc","1782","1801","12-03-2026 20:35:13","16-03-2026 9:30:01"
"backend\apps\academico\services\__pycache__\grades_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\services\__pycache__\grades_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\services\__pycache__\grades_service.cpython-313.pyc","42427","42446","12-03-2026 20:35:13","16-03-2026 9:30:01"
"backend\apps\academico\services\__pycache__\material_clase_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\services\__pycache__\material_clase_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\services\__pycache__\material_clase_service.cpython-313.pyc","3398","3417","12-03-2026 20:35:13","16-03-2026 9:30:01"
"backend\apps\academico\services\__pycache__\tarea_entrega_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\services\__pycache__\tarea_entrega_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\services\__pycache__\tarea_entrega_service.cpython-313.pyc","1513","1532","12-03-2026 20:35:13","16-03-2026 9:30:01"
"backend\apps\academico\services\academic_reports_service.py","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\services\academic_reports_service.py","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\services\academic_reports_service.py","33863","34184","16-03-2026 2:44:46","16-03-2026 2:44:45"
"backend\apps\academico\services\academic_view_service.py","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\services\academic_view_service.py","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\services\academic_view_service.py","23282","23535","16-03-2026 2:44:46","16-03-2026 2:44:45"
"backend\apps\academico\views\academic_report_views.py","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\views\academic_report_views.py","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\views\academic_report_views.py","5060","8313","12-03-2026 19:41:54","16-03-2026 2:44:45"
"backend\apps\accounts\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\__pycache__\__init__.cpython-313.pyc","162","181","12-03-2026 20:07:01","16-03-2026 9:29:43"
"backend\apps\accounts\__pycache__\apps.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\__pycache__\apps.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\__pycache__\apps.cpython-313.pyc","543","562","12-03-2026 20:07:01","16-03-2026 9:29:43"
"backend\apps\accounts\__pycache__\forms.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\__pycache__\forms.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\__pycache__\forms.cpython-313.pyc","5260","5279","12-03-2026 20:35:14","16-03-2026 9:30:02"
"backend\apps\accounts\__pycache__\models.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\__pycache__\models.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\__pycache__\models.cpython-313.pyc","43237","43256","12-03-2026 20:07:01","16-03-2026 9:29:44"
"backend\apps\accounts\__pycache__\urls.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\__pycache__\urls.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\__pycache__\urls.cpython-313.pyc","1338","1357","12-03-2026 20:35:14","16-03-2026 9:30:02"
"backend\apps\accounts\__pycache__\validators.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\__pycache__\validators.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\__pycache__\validators.cpython-313.pyc","7698","7717","14-03-2026 3:06:44","16-03-2026 9:30:01"
"backend\apps\accounts\migrations\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\migrations\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\migrations\__pycache__\__init__.cpython-313.pyc","173","192","12-03-2026 20:07:11","16-03-2026 9:29:45"
"backend\apps\accounts\migrations\__pycache__\0001_initial.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\migrations\__pycache__\0001_initial.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\migrations\__pycache__\0001_initial.cpython-313.pyc","19522","19541","12-03-2026 20:07:11","16-03-2026 9:29:45"
"backend\apps\accounts\migrations\__pycache__\0002_remove_perfilestudiante_curso_actual_id_and_more.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\migrations\__pycache__\0002_remove_perfilestudiante_curso_actual_id_and_more.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\migrations\__pycache__\0002_remove_perfilestudiante_curso_actual_id_and_more.cpython-313.pyc","1251","1270","12-03-2026 20:07:11","16-03-2026 9:29:45"
"backend\apps\accounts\migrations\__pycache__\0003_fix_foreignkey_integrity.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\migrations\__pycache__\0003_fix_foreignkey_integrity.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\migrations\__pycache__\0003_fix_foreignkey_integrity.cpython-313.pyc","1048","1067","12-03-2026 20:07:11","16-03-2026 9:29:45"
"backend\apps\accounts\migrations\__pycache__\0004_add_legacy_curso_actual_id.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\migrations\__pycache__\0004_add_legacy_curso_actual_id.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\migrations\__pycache__\0004_add_legacy_curso_actual_id.cpython-313.pyc","1160","1179","12-03-2026 20:07:11","16-03-2026 9:29:45"
"backend\apps\accounts\migrations\__pycache__\0005_capabilities_policy.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\migrations\__pycache__\0005_capabilities_policy.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\migrations\__pycache__\0005_capabilities_policy.cpython-313.pyc","7162","7181","12-03-2026 20:07:11","16-03-2026 9:29:45"
"backend\apps\accounts\migrations\__pycache__\0006_seed_new_operational_roles.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\migrations\__pycache__\0006_seed_new_operational_roles.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\migrations\__pycache__\0006_seed_new_operational_roles.cpython-313.pyc","3480","3499","12-03-2026 20:07:11","16-03-2026 9:29:45"
"backend\apps\accounts\migrations\__pycache__\0007_rename_role_capabi_role_id_53e9db_idx_role_capabi_role_id_9fd834_idx.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\migrations\__pycache__\0007_rename_role_capabi_role_id_53e9db_idx_role_capabi_role_id_9fd834_idx.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\migrations\__pycache__\0007_rename_role_capabi_role_id_53e9db_idx_role_capabi_role_id_9fd834_idx.cpython-313.pyc","837","856","12-03-2026 20:07:11","16-03-2026 9:29:45"
"backend\apps\accounts\migrations\__pycache__\0008_alter_apoderado_estudiantes_and_more.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\migrations\__pycache__\0008_alter_apoderado_estudiantes_and_more.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\migrations\__pycache__\0008_alter_apoderado_estudiantes_and_more.cpython-313.pyc","1969","1988","12-03-2026 20:07:11","16-03-2026 9:29:45"
"backend\apps\accounts\migrations\__pycache__\0009_seed_missing_capabilities_for_operational_roles.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\migrations\__pycache__\0009_seed_missing_capabilities_for_operational_roles.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\migrations\__pycache__\0009_seed_missing_capabilities_for_operational_roles.cpython-313.pyc","4496","4515","15-03-2026 3:40:59","16-03-2026 9:29:45"
