"RelPath","Outer","Inner","OuterLen","InnerLen","OuterWrite","InnerWrite"
"backend\apps\api\urls.py","C:\Proyectos\Aplicacion_Colegio\backend\apps\api\urls.py","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\api\urls.py","3025","12735","16-03-2026 10:07:44","16-03-2026 2:44:45"
"backend\apps\api\views.py","C:\Proyectos\Aplicacion_Colegio\backend\apps\api\views.py","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\api\views.py","2599","1999","16-03-2026 10:07:44","16-03-2026 2:44:45"
"backend\apps\auditoria\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\auditoria\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\auditoria\__pycache__\__init__.cpython-313.pyc","163","182","12-03-2026 20:07:01","16-03-2026 9:29:44"
"backend\apps\auditoria\__pycache__\apps.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\auditoria\__pycache__\apps.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\auditoria\__pycache__\apps.cpython-313.pyc","546","565","12-03-2026 20:07:01","16-03-2026 9:29:44"
"backend\apps\auditoria\__pycache__\middleware.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\auditoria\__pycache__\middleware.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\auditoria\__pycache__\middleware.cpython-313.pyc","1472","1491","12-03-2026 20:35:14","16-03-2026 9:30:01"
"backend\apps\auditoria\__pycache__\models.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\auditoria\__pycache__\models.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\auditoria\__pycache__\models.cpython-313.pyc","10444","13809","12-03-2026 20:07:01","16-03-2026 9:29:44"
"backend\apps\auditoria\__pycache__\signals.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\auditoria\__pycache__\signals.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\auditoria\__pycache__\signals.cpython-313.pyc","1279","1298","12-03-2026 20:35:14","16-03-2026 9:30:01"
"backend\apps\auditoria\migrations\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\auditoria\migrations\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\auditoria\migrations\__pycache__\__init__.cpython-313.pyc","174","193","12-03-2026 20:07:12","16-03-2026 9:29:45"
"backend\apps\auditoria\migrations\__pycache__\0001_initial.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\auditoria\migrations\__pycache__\0001_initial.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\auditoria\migrations\__pycache__\0001_initial.cpython-313.pyc","6075","6094","12-03-2026 20:07:12","16-03-2026 9:29:45"
"backend\apps\auditoria\migrations\__pycache__\0002_sensitiveactionrequest.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\auditoria\migrations\__pycache__\0002_sensitiveactionrequest.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\auditoria\migrations\__pycache__\0002_sensitiveactionrequest.cpython-313.pyc","4057","4076","15-03-2026 3:40:59","16-03-2026 9:29:45"
"backend\apps\auditoria\models.py","C:\Proyectos\Aplicacion_Colegio\backend\apps\auditoria\models.py","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\auditoria\models.py","9720","12943","12-03-2026 19:41:54","16-03-2026 2:44:45"
"backend\apps\auditoria\services\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\auditoria\services\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\auditoria\services\__pycache__\__init__.cpython-313.pyc","274","293","15-03-2026 3:43:42","16-03-2026 9:30:01"
"backend\apps\auditoria\services\__pycache__\sensitive_action_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\auditoria\services\__pycache__\sensitive_action_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\auditoria\services\__pycache__\sensitive_action_service.cpython-313.pyc","8078","8097","15-03-2026 3:43:42","16-03-2026 9:30:01"
"backend\apps\comunicados\__pycache__\admin.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\comunicados\__pycache__\admin.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\comunicados\__pycache__\admin.cpython-313.pyc","6632","6651","12-03-2026 20:07:02","16-03-2026 9:29:44"
"backend\apps\comunicados\__pycache__\apps.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\comunicados\__pycache__\apps.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\comunicados\__pycache__\apps.cpython-313.pyc","763","782","12-03-2026 20:07:01","16-03-2026 9:29:44"
"backend\apps\comunicados\__pycache__\models.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\comunicados\__pycache__\models.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\comunicados\__pycache__\models.cpython-313.pyc","20785","20804","12-03-2026 20:07:01","16-03-2026 9:29:44"
"backend\apps\comunicados\__pycache__\signals.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\comunicados\__pycache__\signals.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\comunicados\__pycache__\signals.cpython-313.pyc","807","826","12-03-2026 20:07:02","16-03-2026 9:29:44"
"backend\apps\comunicados\__pycache__\urls.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\comunicados\__pycache__\urls.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\comunicados\__pycache__\urls.cpython-313.pyc","1643","1662","12-03-2026 20:35:14","16-03-2026 9:30:03"
"backend\apps\comunicados\migrations\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\comunicados\migrations\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\comunicados\migrations\__pycache__\__init__.cpython-313.pyc","176","195","12-03-2026 20:07:11","16-03-2026 9:29:45"
"backend\apps\comunicados\migrations\__pycache__\0001_initial.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\comunicados\migrations\__pycache__\0001_initial.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\comunicados\migrations\__pycache__\0001_initial.cpython-313.pyc","5079","5098","12-03-2026 20:07:11","16-03-2026 9:29:45"
"backend\apps\comunicados\migrations\__pycache__\0002_adjuntocomunicado_estadisticacomunicado_and_more.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\comunicados\migrations\__pycache__\0002_adjuntocomunicado_estadisticacomunicado_and_more.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\comunicados\migrations\__pycache__\0002_adjuntocomunicado_estadisticacomunicado_and_more.cpython-313.pyc","7652","7671","12-03-2026 20:07:11","16-03-2026 9:29:45"
"backend\apps\comunicados\services\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\comunicados\services\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\comunicados\services\__pycache__\__init__.cpython-313.pyc","267","286","12-03-2026 20:07:02","16-03-2026 9:29:44"
"backend\apps\comunicados\services\__pycache__\comunicados_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\comunicados\services\__pycache__\comunicados_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\comunicados\services\__pycache__\comunicados_service.cpython-313.pyc","35259","34816","12-03-2026 20:07:02","16-03-2026 9:29:44"
"backend\apps\comunicados\services\comunicados_service.py","C:\Proyectos\Aplicacion_Colegio\backend\apps\comunicados\services\comunicados_service.py","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\comunicados\services\comunicados_service.py","33611","33141","12-03-2026 19:41:54","16-03-2026 2:44:45"
"backend\apps\comunicados\views\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\comunicados\views\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\comunicados\views\__pycache__\__init__.cpython-313.pyc","653","672","12-03-2026 20:35:14","16-03-2026 9:30:03"
"backend\apps\comunicados\views\__pycache__\comunicados.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\comunicados\views\__pycache__\comunicados.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\comunicados\views\__pycache__\comunicados.cpython-313.pyc","8795","8814","12-03-2026 20:35:14","16-03-2026 9:30:03"
"backend\apps\comunicados\views\__pycache__\confirmaciones.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\comunicados\views\__pycache__\confirmaciones.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\comunicados\views\__pycache__\confirmaciones.cpython-313.pyc","4003","4022","12-03-2026 20:35:14","16-03-2026 9:30:03"
"backend\apps\comunicados\views\__pycache__\estadisticas.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\comunicados\views\__pycache__\estadisticas.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\comunicados\views\__pycache__\estadisticas.cpython-313.pyc","1052","1071","12-03-2026 20:35:14","16-03-2026 9:30:03"
"backend\apps\comunicados\views\__pycache__\plantillas.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\comunicados\views\__pycache__\plantillas.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\comunicados\views\__pycache__\plantillas.cpython-313.pyc","7669","7688","12-03-2026 20:35:14","16-03-2026 9:30:03"
"backend\apps\core\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\__pycache__\__init__.cpython-313.pyc","158","177","12-03-2026 20:06:38","16-03-2026 9:25:38"
"backend\apps\core\__pycache__\apps.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\__pycache__\apps.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\__pycache__\apps.cpython-313.pyc","531","550","12-03-2026 20:07:01","16-03-2026 9:29:44"
"backend\apps\core\__pycache__\models.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\__pycache__\models.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\__pycache__\models.cpython-313.pyc","11046","28956","12-03-2026 20:07:01","16-03-2026 9:29:44"
"backend\apps\core\__pycache__\routing.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\__pycache__\routing.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\__pycache__\routing.cpython-313.pyc","1022","1041","12-03-2026 20:35:34","16-03-2026 10:08:14"
"backend\apps\core\__pycache__\settings.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\__pycache__\settings.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\__pycache__\settings.cpython-313.pyc","11899","15165","16-03-2026 2:48:00","16-03-2026 10:08:10"
"backend\apps\core\__pycache__\urls.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\__pycache__\urls.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\__pycache__\urls.cpython-313.pyc","16184","15542","16-03-2026 9:39:43","16-03-2026 9:30:01"
"backend\apps\core\forms\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\forms\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\forms\__pycache__\__init__.cpython-313.pyc","449","468","12-03-2026 20:35:13","16-03-2026 9:30:02"
"backend\apps\core\forms\__pycache__\setup_forms.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\forms\__pycache__\setup_forms.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\forms\__pycache__\setup_forms.cpython-313.pyc","23200","23219","12-03-2026 20:35:13","16-03-2026 9:30:02"
"backend\apps\core\management\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\management\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\management\__pycache__\__init__.cpython-313.pyc","169","188","12-03-2026 20:07:11","16-03-2026 9:29:45"
"backend\apps\core\middleware\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\middleware\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\middleware\__pycache__\__init__.cpython-313.pyc","169","188","12-03-2026 20:35:13","16-03-2026 9:30:01"
"backend\apps\core\middleware\__pycache__\performance.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\middleware\__pycache__\performance.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\middleware\__pycache__\performance.cpython-313.pyc","5203","5222","12-03-2026 20:35:14","16-03-2026 9:30:01"
"backend\apps\core\middleware\__pycache__\tenant.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\middleware\__pycache__\tenant.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\middleware\__pycache__\tenant.cpython-313.pyc","4178","4197","12-03-2026 20:35:13","16-03-2026 9:30:01"
"backend\apps\core\migrations\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\migrations\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\migrations\__pycache__\__init__.cpython-313.pyc","169","188","12-03-2026 20:07:12","16-03-2026 9:29:45"
"backend\apps\core\migrations\__pycache__\0001_initial.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\migrations\__pycache__\0001_initial.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\migrations\__pycache__\0001_initial.cpython-313.pyc","10355","10374","12-03-2026 20:07:12","16-03-2026 9:29:45"
"backend\apps\core\migrations\__pycache__\0002_anotacionconvivencia_derivacionexterna_and_more.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\migrations\__pycache__\0002_anotacionconvivencia_derivacionexterna_and_more.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\migrations\__pycache__\0002_anotacionconvivencia_derivacionexterna_and_more.cpython-313.pyc","18245","18264","12-03-2026 20:07:12","16-03-2026 9:29:45"
"backend\apps\core\migrations\__pycache__\0003_alter_cambioestado_ciclo_academico_and_more.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\migrations\__pycache__\0003_alter_cambioestado_ciclo_academico_and_more.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\migrations\__pycache__\0003_alter_cambioestado_ciclo_academico_and_more.cpython-313.pyc","1512","1531","12-03-2026 20:07:12","16-03-2026 9:29:45"
"backend\apps\core\migrations\__pycache__\0004_recursodigital_es_plan_lector_and_more.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\migrations\__pycache__\0004_recursodigital_es_plan_lector_and_more.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\migrations\__pycache__\0004_recursodigital_es_plan_lector_and_more.cpython-313.pyc","1257","1276","12-03-2026 20:07:12","16-03-2026 9:29:45"
"backend\apps\core\models.py","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\models.py","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\models.py","8072","23522","12-03-2026 19:41:54","16-03-2026 2:44:45"
"backend\apps\core\services\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\__init__.cpython-313.pyc","167","186","12-03-2026 20:07:02","16-03-2026 9:29:44"
"backend\apps\core\services\__pycache__\academic_report_query_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\academic_report_query_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\academic_report_query_service.cpython-313.pyc","1355","1374","12-03-2026 20:35:13","16-03-2026 9:30:02"
"backend\apps\core\services\__pycache__\admin_general_escuelas_query_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\admin_general_escuelas_query_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\admin_general_escuelas_query_service.cpython-313.pyc","4817","4836","12-03-2026 20:35:13","16-03-2026 9:30:02"
"backend\apps\core\services\__pycache__\admin_school_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\admin_school_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\admin_school_service.cpython-313.pyc","7002","7021","12-03-2026 20:35:13","16-03-2026 9:30:02"
"backend\apps\core\services\__pycache__\asignatura_horario_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\asignatura_horario_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\asignatura_horario_service.cpython-313.pyc","2572","2591","12-03-2026 20:35:13","16-03-2026 9:30:02"
"backend\apps\core\services\__pycache__\asignaturas_view_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\asignaturas_view_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\asignaturas_view_service.cpython-313.pyc","20436","20455","12-03-2026 20:35:13","16-03-2026 9:30:02"
"backend\apps\core\services\__pycache__\ciclo_academico_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\ciclo_academico_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\ciclo_academico_service.cpython-313.pyc","5146","5165","12-03-2026 20:35:13","16-03-2026 9:30:02"
"backend\apps\core\services\__pycache__\clase_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\clase_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\clase_service.cpython-313.pyc","6611","6630","12-03-2026 20:35:13","16-03-2026 9:30:02"
"backend\apps\core\services\__pycache__\class_detail_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\class_detail_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\class_detail_service.cpython-313.pyc","12843","12862","12-03-2026 20:35:13","16-03-2026 9:30:02"
"backend\apps\core\services\__pycache__\colegio_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\colegio_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\colegio_service.cpython-313.pyc","5353","5372","12-03-2026 20:35:13","16-03-2026 9:30:02"
"backend\apps\core\services\__pycache__\curso_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\curso_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\curso_service.cpython-313.pyc","6186","6205","12-03-2026 20:35:13","16-03-2026 9:30:02"
"backend\apps\core\services\__pycache__\dashboard_admin_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\dashboard_admin_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\dashboard_admin_service.cpython-313.pyc","35556","35985","16-03-2026 9:29:23","16-03-2026 9:30:01"
"backend\apps\core\services\__pycache__\dashboard_apoderado_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\dashboard_apoderado_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\dashboard_apoderado_service.cpython-313.pyc","20363","20369","12-03-2026 20:07:11","16-03-2026 9:30:01"
"backend\apps\core\services\__pycache__\dashboard_asesor_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\dashboard_asesor_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\dashboard_asesor_service.cpython-313.pyc","4224","4243","12-03-2026 20:07:11","16-03-2026 9:30:01"
"backend\apps\core\services\__pycache__\dashboard_auth_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\dashboard_auth_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\dashboard_auth_service.cpython-313.pyc","16242","16210","16-03-2026 9:29:23","16-03-2026 9:30:01"
"backend\apps\core\services\__pycache__\dashboard_context_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\dashboard_context_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\dashboard_context_service.cpython-313.pyc","52531","56912","16-03-2026 9:29:23","16-03-2026 9:30:01"
"backend\apps\core\services\__pycache__\dashboard_graficos_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\dashboard_graficos_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\dashboard_graficos_service.cpython-313.pyc","19542","19561","12-03-2026 20:35:13","16-03-2026 9:30:01"
"backend\apps\core\services\__pycache__\dashboard_orchestrator_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\dashboard_orchestrator_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\dashboard_orchestrator_service.cpython-313.pyc","10643","10662","12-03-2026 20:35:13","16-03-2026 9:30:01"
"backend\apps\core\services\__pycache__\dashboard_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\dashboard_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\dashboard_service.cpython-313.pyc","16599","15918","16-03-2026 2:48:03","16-03-2026 9:30:01"
"backend\apps\core\services\__pycache__\escuela_management_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\escuela_management_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\escuela_management_service.cpython-313.pyc","18246","18265","12-03-2026 20:35:13","16-03-2026 9:30:01"
"backend\apps\core\services\__pycache__\financial_documents_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\financial_documents_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\financial_documents_service.cpython-313.pyc","3326","3345","12-03-2026 20:07:02","16-03-2026 9:30:02"
"backend\apps\core\services\__pycache__\import_csv_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\import_csv_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\import_csv_service.cpython-313.pyc","33262","33281","12-03-2026 20:35:13","16-03-2026 9:30:01"
"backend\apps\core\services\__pycache__\infraestructura_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\infraestructura_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\infraestructura_service.cpython-313.pyc","2321","2340","12-03-2026 20:35:13","16-03-2026 9:30:02"
"backend\apps\core\services\__pycache__\integrity_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\integrity_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\integrity_service.cpython-313.pyc","20863","20882","12-03-2026 20:07:02","16-03-2026 9:29:44"
"backend\apps\core\services\__pycache__\orm_access_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\orm_access_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\orm_access_service.cpython-313.pyc","2212","2231","12-03-2026 20:35:13","16-03-2026 9:30:01"
"backend\apps\core\services\__pycache__\school_query_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\school_query_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\school_query_service.cpython-313.pyc","1132","1151","16-03-2026 2:48:03","16-03-2026 9:30:01"
"backend\apps\core\services\__pycache__\setup_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\core\services\__pycache__\setup_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\core\services\__pycache__\setup_service.cpython-313.pyc","9078","9097","12-03-2026 20:35:13","16-03-2026 9:30:02"
